0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,8,13,5,0,4,7,11,0,0,0,0,4,5,2,0,0,1,7,0,6
31,7,13,5,0,5,8,11,0,0,0,0,4,5,2,0,0,1,7,0,7
32,8,12,5,0,5,9,11,0,0,0,0,3,6,2,0,0,1,8,0,6
33,8,12,5,0,5,9,12,0,0,0,0,4,6,2,0,0,1,8,0,6
34,9,11,5,0,5,11,13,0,0,0,0,4,6,2,0,0,1,9,0,7
35,9,12,5,0,5,11,13,0,0,0,0,3,7,2,0,0,1,10,0,6
36,10,13,4,1,5,11,13,0,0,0,0,3,7,2,0,0,2,10,0,6
37,9,13,5,1,5,12,13,0,0,0,0,4,7,2,0,0,2,11,0,7
38,9,11,6,1,5,14,14,0,0,0,0,4,7,2,0,0,2,11,0,7
39,9,12,5,2,5,14,15,0,0,0,0,4,7,3,0,0,1,11,0,7
40,9,13,6,2,5,14,15,0,0,0,0,3,8,3,0,0,1,13,0,7
41,9,12,4,3,6,15,15,0,0,0,0,4,8,3,0,0,1,13,0,6
42,8,13,5,3,6,15,15,0,0,0,0,4,8,3,0,0,1,13,0,7
43,9,14,5,3,6,15,16,0,0,0,0,3,9,3,0,0,1,14,0,5
44,9,12,5,3,6,16,16,0,0,0,0,3,9,3,0,0,1,14,0,5
45,9,12,6,3,6,17,17,0,0,0,0,4,9,3,0,0,2,15,0,6
46,8,12,7,3,6,16,17,0,1,0,0,4,9,3,0,0,2,16,0,6
47,9,12,7,3,6,15,17,0,2,0,0,4,9,4,0,0,1,16,0,5
48,9,12,7,3,6,16,18,0,2,0,0,4,9,4,0,0,1,16,0,6
49,10,11,6,4,6,17,18,0,2,0,0,4,11,3,0,1,1,16,0,5
50,10,12,6,4,6,16,18,0,2,0,0,4,11,3,0,2,1,16,0,5
51,9,12,7,4,6,17,18,0,2,0,0,4,11,3,0,2,1,16,0,6
52,10,12,7,4,6,16,18,0,2,0,1,3,13,2,0,2,1,16,0,6
53,10,13,7,4,6,15,20,0,3,0,1,4,13,2,0,2,1,16,0,5
54,10,14,7,4,6,15,20,0,3,0,1,4,14,1,0,3,2,18,0,6
55,11,13,8,3,6,16,21,0,3,0,1,4,14,1,0,3,2,18,0,5
56,10,13,8,4,6,17,21,0,3,0,1,4,15,1,0,4,1,18,0,5
57,10,14,8,3,5,17,22,0,4,0,2,4,16,1,0,4,1,19,0,5
58,11,13,7,4,5,18,24,0,4,0,2,4,16,1,0,4,1,19,0,5
59,10,14,8,4,5,18,24,0,4,0,2,4,16,1,0,5,1,19,0,5
60,10,14,9,4,4,19,24,0,5,0,2,4,17,1,0,5,1,19,0,7
61,9,13,9,5,4,20,24,0,5,0,2,3,18,1,0,5,1,20,0,6
62,9,13,9,6,3,21,24,0,6,0,2,4,18,1,0,6,1,20,0,6
63,9,12,7,6,4,22,25,0,6,0,2,4,19,0,0,6,2,20,0,6
64,10,13,7,6,3,22,26,0,7,0,2,3,21,0,0,6,2,21,0,6
65,9,13,7,6,4,23,26,0,7,0,2,3,21,1,0,6,1,21,0,7
66,8,13,9,6,3,23,26,0,8,0,1,4,22,1,1,6,1,22,0,7
67,8,14,8,7,2,22,25,1,9,0,1,4,22,1,1,6,1,22,0,6
68,8,12,8,6,2,24,27,1,9,0,1,4,23,1,1,6,1,22,0,7
69,8,12,7,8,3,24,26,1,9,1,1,3,23,1,1,6,1,24,0,6
70,9,12,7,9,3,25,26,1,9,1,1,3,24,1,1,6,1,24,0,6
71,9,12,6,12,3,26,23,1,8,2,1,3,23,1,1,7,1,24,0,7
72,9,13,6,11,3,26,26,1,8,2,1,3,23,1,1,7,2,24,0,6
73,9,14,6,12,3,26,25,1,7,3,1,2,24,0,1,8,2,23,0,6
74,8,12,7,12,3,28,24,1,7,3,1,3,24,0,1,8,2,25,0,7
75,9,12,6,14,3,29,24,1,6,4,1,3,23,1,1,9,1,24,0,6
76,8,12,6,15,4,30,21,1,6,4,1,3,23,1,1,9,1,24,0,5
77,9,12,5,16,4,30,22,1,6,4,1,3,22,1,1,10,1,24,0,6
78,9,11,5,16,4,32,21,1,6,4,1,3,23,1,1,10,1,24,0,6
79,10,11,5,16,3,32,21,1,7,4,1,3,23,1,1,11,1,24,0,5
80,9,10,6,15,3,33,22,1,7,4,1,3,23,1,1,11,1,24,0,5
81,9,12,6,16,3,32,22,1,7,4,1,2,24,1,1,12,2,23,0,5
82,8,13,6,17,3,32,24,1,7,4,1,3,24,1,1,12,2,23,0,5
83,9,12,6,16,3,33,25,1,7,4,1,3,23,2,1,13,2,23,0,5
84,8,12,6,17,4,34,24,1,7,4,1,3,23,3,1,14,1,23,0,5
85,7,11,7,16,4,36,25,1,7,4,1,3,22,4,1,15,1,24,0,6
86,8,11,8,15,4,36,23,2,7,4,1,4,22,4,1,16,1,23,0,5
87,8,11,9,12,5,38,25,2,7,4,1,4,21,5,1,16,1,23,0,5
88,7,11,10,13,5,38,25,2,7,4,1,4,21,5,1,17,1,23,0,6
89,8,12,10,12,5,39,26,2,7,3,1,3,22,4,2,16,2,25,0,6
90,9,13,10,12,5,39,25,2,7,3,1,3,22,4,3,16,3,24,0,6
91,8,11,12,10,5,42,25,2,7,2,2,4,22,4,4,16,3,23,0,6
92,9,10,13,10,5,42,26,2,8,1,2,4,22,4,5,15,3,24,0,6
93,9,10,14,8,5,44,27,2,8,1,3,3,23,5,5,15,2,24,0,5
94,10,10,14,8,5,44,27,2,8,1,3,3,23,5,5,15,2,26,0,7
95,9,10,13,8,6,45,27,2,8,1,3,4,23,5,6,14,2,26,0,7
96,9,10,14,8,6,46,27,2,8,1,3,4,23,5,6,14,2,27,0,6
97,8,10,15,7,6,46,28,2,8,1,3,3,24,5,6,13,2,27,0,7
98,8,10,15,8,6,46,28,2,8,0,3,3,24,5,6,13,2,28,0,6
99,8,9,13,8,6,47,28,2,8,0,4,4,24,5,6,13,3,27,0,6
100,6,10,15,7,7,46,27,2,8,0,4,4,24,5,7,12,3,28,0,7
101,7,10,12,7,7,45,28,2,8,0,4,4,24,6,7,11,2,27,0,7
102,7,9,12,7,7,45,29,3,8,0,4,3,25,6,9,8,2,27,0,7
103,8,10,11,8,8,43,27,3,8,0,4,4,25,6,8,9,2,29,0,7
104,8,10,9,8,8,43,26,3,7,1,5,4,25,6,9,8,2,28,0,7
105,7,10,11,8,8,40,26,3,7,1,6,4,24,7,9,7,2,28,0,7
106,7,11,9,7,8,40,26,3,7,1,8,4,24,7,7,8,1,29,0,7
107,8,12,8,8,8,37,27,3,6,2,7,4,25,7,8,7,1,29,0,7
108,8,12,7,8,8,35,26,3,7,2,7,4,25,8,9,7,2,29,0,8
109,9,14,6,8,8,33,26,3,8,3,7,4,25,8,9,7,2,30,0,8
110,9,14,6,8,8,31,25,3,8,3,7,3,26,9,9,7,2,30,0,6
111,10,13,6,8,7,31,26,3,8,4,7,4,26,10,10,6,1,30,0,7
112,8,15,7,8,7,28,26,4,8,4,7,4,26,11,10,6,1,31,0,6
113,8,14,8,8,6,28,26,3,8,5,7,4,26,12,10,6,1,32,0,6
114,8,16,6,7,7,25,27,3,8,5,8,4,26,12,9,6,1,33,0,7
115,8,17,6,7,6,23,27,3,8,6,7,4,28,12,9,6,1,33,0,5
116,8,15,6,8,6,24,27,3,8,6,9,4,29,12,9,5,1,33,1,5
117,8,15,7,7,5,23,28,3,9,6,9,4,30,12,9,5,2,34,1,6
118,10,15,6,7,4,21,27,3,10,6,10,4,30,12,8,4,2,35,1,5
119,9,15,7,6,5,20,26,3,10,6,10,3,33,13,8,3,1,37,1,5
120,10,16,6,6,4,18,27,3,10,6,11,4,35,13,7,3,1,37,1,6
121,10,15,6,6,4,17,28,3,11,6,11,4,35,13,8,2,1,37,1,6
122,10,14,7,6,3,16,28,3,12,6,10,4,36,13,8,4,1,35,1,5
123,10,13,8,4,3,15,29,3,12,6,11,3,37,13,7,4,1,38,1,5
124,9,12,9,4,2,16,29,3,13,6,11,4,39,13,7,5,1,36,1,5
125,9,13,8,4,3,15,28,3,12,7,10,4,40,13,6,5,1,35,1,5
126,9,12,8,4,3,16,28,4,12,7,11,4,40,13,6,7,2,34,1,6
127,9,11,7,5,3,16,28,5,14,6,11,3,41,13,7,7,2,34,1,5
128,8,12,7,4,3,16,29,6,14,6,12,4,40,16,6,8,1,34,1,5
129,9,12,6,5,3,16,28,6,14,6,12,4,41,17,6,9,1,34,1,5
130,9,11,7,5,3,16,28,6,14,6,13,3,40,19,5,11,1,32,1,5
131,10,11,7,5,2,16,27,7,15,6,14,3,39,19,5,11,1,32,1,5
132,10,11,7,5,2,17,27,7,15,6,15,4,40,20,4,12,1,33,1,5
133,10,12,5,6,2,16,26,8,16,6,14,4,38,20,4,13,1,32,1,5
134,9,13,6,7,2,14,25,8,16,7,14,4,41,17,4,14,3,31,1,6
135,10,13,5,8,2,15,26,8,16,7,13,3,40,18,4,15,4,31,1,5
136,9,13,6,9,1,15,26,8,17,7,13,4,41,15,4,15,6,31,0,5
137,10,12,5,9,1,16,27,9,17,7,15,4,40,16,3,16,6,32,0,5
138,9,13,6,9,1,17,27,9,16,8,14,4,41,15,4,15,6,32,0,6
139,9,12,6,9,2,20,28,10,15,8,13,4,41,16,5,15,6,31,0,5
140,9,12,5,11,2,21,27,10,15,8,13,4,42,17,5,15,6,32,0,6
141,8,12,6,11,1,23,29,10,16,8,13,4,43,18,5,16,6,30,0,6
142,9,13,6,11,1,25,29,11,16,8,12,4,40,20,4,17,7,30,0,5
143,8,13,7,11,1,26,30,11,16,8,12,3,40,20,4,17,8,31,0,6
144,8,13,7,11,1,29,32,10,14,9,12,4,39,21,4,18,9,30,0,6
145,7,15,8,11,1,29,34,9,14,9,12,4,38,22,4,19,9,30,0,5
146,8,14,8,10,1,32,34,9,14,9,13,4,37,23,3,20,10,30,0,6
147,8,13,7,10,2,34,33,10,14,9,13,3,36,25,3,21,10,29,0,5
148,9,13,8,9,2,36,33,10,14,9,13,3,36,24,3,21,11,30,0,5
149,9,13,8,9,2,37,33,10,15,8,13,4,34,25,3,23,12,30,0,6
150,8,14,10,8,2,37,34,12,14,9,13,4,34,25,3,23,13,30,0,5
151,8,15,10,8,2,39,33,12,15,9,13,3,34,24,3,23,15,30,0,6
152,8,14,12,7,2,40,33,12,14,9,14,3,35,24,2,24,15,30,0,6
153,7,14,12,7,3,41,33,13,14,9,14,4,33,25,2,25,17,30,0,5
154,8,14,12,7,3,43,34,13,15,9,16,4,33,24,1,25,19,30,0,6
155,8,13,11,8,3,44,35,13,14,9,16,3,32,24,1,26,21,30,0,5
156,8,13,12,7,3,44,35,13,16,9,16,3,31,24,1,26,22,30,0,5
157,8,14,11,8,3,44,36,12,15,9,16,4,30,24,1,27,23,30,0,6
158,7,14,12,9,3,43,35,12,15,9,16,4,27,26,1,28,24,30,0,5
159,8,13,11,11,3,44,34,11,15,8,16,3,27,25,1,29,26,29,0,5
160,8,13,10,11,3,43,35,11,15,7,16,3,26,25,1,30,28,28,0,6
161,9,13,9,13,3,44,36,10,15,7,17,4,25,23,1,31,31,29,0,5
162,9,13,8,13,3,43,36,10,16,7,17,4,23,25,1,31,32,29,0,5
163,10,11,8,14,2,45,36,9,17,5,17,4,23,22,2,31,35,28,0,6
164,10,13,7,14,2,43,36,9,17,5,16,3,24,21,3,32,36,28,0,6
165,10,14,8,14,2,43,37,8,17,5,18,4,24,20,4,32,37,28,0,5
166,10,13,6,17,2,44,36,8,17,3,17,4,24,18,5,33,39,27,0,5
167,10,14,6,18,2,44,36,8,17,3,17,4,23,19,5,33,39,28,0,5
168,10,15,5,19,2,44,36,8,17,3,19,3,23,18,6,34,40,26,0,5
169,10,14,6,19,1,45,37,7,18,3,19,4,23,16,6,34,42,27,0,5
170,10,14,5,19,1,46,38,7,18,1,19,4,23,16,6,35,42,26,0,5
171,9,15,6,19,1,45,39,6,17,2,19,4,22,16,6,35,44,26,0,6
172,10,14,5,21,1,48,38,6,15,3,21,4,23,15,6,35,44,28,0,6
173,10,15,5,21,0,48,39,5,16,3,21,4,24,17,6,36,44,27,0,5
174,11,12,5,22,0,50,40,5,15,4,21,4,25,17,6,36,44,27,0,6
175,10,13,8,21,0,50,40,5,15,3,21,4,25,17,6,36,44,29,0,5
176,8,13,10,21,0,51,40,4,15,3,22,3,27,17,6,36,44,29,0,5
177,8,12,11,20,0,52,39,4,15,3,21,3,28,16,6,36,44,29,0,6
178,9,13,10,21,1,52,38,3,14,4,21,4,29,16,6,36,43,30,0,6
179,9,13,11,20,1,52,38,3,14,4,21,4,30,15,7,35,42,30,0,5
180,8,13,13,21,1,52,39,4,13,5,22,4,31,14,8,34,44,31,0,6
181,9,12,12,22,1,53,39,4,13,5,23,3,32,13,8,34,44,32,0,5
182,9,12,14,21,1,55,39,5,11,6,22,4,33,12,10,33,44,32,0,5
183,9,11,14,20,2,56,39,5,11,6,22,4,33,13,11,32,42,33,0,6
184,8,11,14,21,2,58,40,5,11,6,22,4,33,12,12,31,42,33,0,6
185,8,11,13,22,2,58,41,5,11,6,22,3,35,11,14,29,42,33,0,5
186,8,11,13,22,2,59,41,5,10,7,22,4,35,11,14,28,41,35,0,6
187,9,11,12,23,2,61,41,5,10,7,22,4,37,10,15,27,40,36,0,5
188,7,10,13,22,2,62,41,5,10,7,24,4,37,10,13,27,40,36,0,5
189,8,10,13,22,2,60,42,5,10,6,24,3,39,9,14,26,40,36,0,5
190,8,10,11,24,2,61,41,5,8,7,26,4,39,9,14,25,39,36,0,5
191,9,9,9,24,3,60,42,5,8,7,26,4,40,8,14,25,37,36,0,5
192,9,10,9,23,3,59,44,5,8,7,26,4,41,8,13,26,35,39,0,6
193,9,10,9,23,3,57,44,5,8,7,26,3,41,8,14,25,34,38,0,5
194,9,10,10,22,3,57,45,5,8,7,27,4,42,7,12,27,32,37,0,6
195,9,11,11,22,2,54,45,5,9,7,27,4,41,7,13,26,30,38,0,5
196,9,11,10,22,2,55,44,5,9,6,25,4,41,6,13,25,30,40,0,5
197,9,10,10,21,2,53,46,5,9,5,25,3,42,7,13,25,28,39,0,6
198,9,10,9,23,2,52,45,4,8,5,27,4,41,7,12,24,29,41,0,5
199,9,12,9,23,1,50,44,5,9,5,27,4,41,7,14,23,28,40,0,5
200,10,13,8,22,2,48,47,4,7,5,29,4,40,8,14,21,26,43,2,6
201,9,16,9,21,2,46,47,4,6,5,30,3,41,8,13,21,25,42,2,5
202,10,15,8,22,2,44,45,5,6,5,32,4,40,8,15,19,25,42,4,5
203,9,19,9,21,2,40,45,5,6,6,32,4,41,8,13,20,24,43,5,6
204,10,19,9,22,2,39,46,5,6,6,32,4,40,7,14,19,24,43,6,5
205,9,22,10,19,2,35,46,5,6,7,33,3,42,7,15,18,22,43,7,5
206,10,24,11,18,2,31,44,5,7,7,32,3,41,9,16,17,22,43,8,6
207,10,25,11,17,1,29,44,4,8,7,33,4,42,9,14,18,21,43,9,5
208,10,24,12,15,1,29,44,4,8,6,32,4,42,10,15,17,20,43,10,5
209,12,25,11,15,1,26,45,4,8,6,31,4,44,10,16,16,19,43,12,5
210,13,23,13,13,1,27,44,4,8,5,33,3,44,12,16,16,17,43,13,5
211,13,22,12,14,1,25,42,3,8,5,35,4,45,13,16,17,16,42,14,5
212,13,22,14,11,1,25,42,4,8,5,36,4,45,15,15,16,13,42,15,6
213,14,19,13,12,1,26,41,5,8,5,36,4,45,16,15,18,12,40,16,5
214,15,17,16,10,1,26,41,5,8,5,38,3,46,16,14,18,11,39,16,5
215,15,17,16,11,1,26,38,5,8,5,37,4,46,17,15,17,10,41,18,5
216,14,14,18,10,0,27,39,6,8,4,38,4,49,16,15,16,11,39,20,5
217,12,13,17,11,0,26,37,6,8,4,38,3,49,17,14,16,10,39,20,5
218,13,13,17,9,0,26,38,6,9,4,38,3,51,18,15,16,9,37,22,5
219,10,13,17,11,0,25,35,7,8,4,40,4,51,20,15,15,6,35,22,5
220,9,13,17,9,1,27,36,8,8,4,41,4,51,22,14,16,5,33,24,6
221,7,12,17,10,1,29,35,9,8,3,40,4,51,21,14,17,6,34,23,5
222,8,13,17,9,1,29,33,9,8,3,39,4,52,21,13,18,6,32,24,5
223,7,13,17,9,2,30,34,9,8,3,41,4,55,22,13,19,6,33,23,5
224,8,12,14,10,2,32,32,10,8,4,38,4,58,22,14,19,6,33,23,5
225,8,12,15,9,2,31,34,9,8,4,38,4,60,22,14,19,7,33,24,5
226,8,13,13,10,2,30,32,10,8,4,37,3,62,21,14,18,6,32,23,5
227,9,12,12,9,2,31,34,10,8,4,37,4,64,23,14,17,5,33,24,6
228,9,12,10,10,2,32,36,10,8,4,37,4,65,23,14,17,5,32,23,5
229,9,12,10,9,2,34,36,11,8,5,38,4,68,23,15,15,5,33,24,5
230,9,13,10,10,2,34,36,11,8,4,38,3,70,24,15,14,5,34,23,6
231,9,13,11,9,2,34,37,10,7,5,38,4,71,23,15,13,6,34,22,5
232,8,14,10,9,2,34,37,10,7,5,39,4,72,23,15,13,6,35,21,6
233,8,14,10,9,3,34,38,10,7,5,40,4,73,23,14,14,5,33,20,6
234,8,14,8,10,3,34,39,9,6,6,39,3,75,22,15,14,7,35,19,5
235,7,13,8,10,4,35,39,10,7,6,40,3,76,22,14,15,7,34,19,6
236,7,15,9,9,3,34,39,11,7,7,40,4,76,22,14,15,7,34,17,5
237,7,17,9,8,3,33,40,10,7,7,42,4,76,24,12,17,6,33,16,6
238,8,17,7,9,4,33,41,10,7,7,41,3,77,24,11,18,6,34,15,6
239,7,18,7,10,4,33,43,9,6,8,43,3,77,24,9,19,6,34,13,5
240,9,17,7,9,3,34,44,9,7,8,44,4,77,24,8,20,6,33,13,7
241,9,17,6,10,3,34,44,10,6,9,43,4,79,25,8,20,6,33,11,7
242,10,16,6,9,3,34,46,9,6,9,44,3,80,24,7,21,7,33,12,7
243,11,16,6,9,3,33,46,10,7,9,44,3,81,24,7,21,7,33,10,7
244,10,17,5,8,3,32,48,8,7,8,44,4,80,24,6,22,6,34,9,7
245,12,17,5,8,3,31,48,9,8,7,44,4,79,24,6,23,6,32,8,6
246,10,17,7,6,3,31,50,8,8,7,44,3,79,26,5,24,5,31,6,7
247,12,17,6,7,3,30,49,9,10,6,44,3,78,26,5,25,5,31,6,7
248,10,16,7,6,3,30,50,9,10,6,44,4,76,26,5,25,5,31,4,6
249,12,16,5,7,2,29,51,8,11,6,44,4,76,26,5,27,5,30,3,7
250,11,16,5,7,2,30,51,9,11,6,43,4,75,25,5,27,5,31,2,6
251,10,16,8,5,2,30,52,9,11,6,44,3,74,27,5,29,5,29,1,6
252,11,13,7,6,1,31,54,10,12,6,42,4,71,28,5,30,6,28,1,7
253,12,14,7,7,1,31,53,9,12,6,42,4,68,29,5,31,6,28,3,6
254,11,14,7,6,1,31,55,9,13,4,43,4,66,31,5,32,6,28,3,6
255,10,14,7,7,1,31,54,9,12,4,44,3,62,35,6,32,5,27,3,6
256,11,12,7,7,1,33,54,10,12,4,43,4,61,36,6,33,5,27,3,5
257,10,12,7,8,1,34,53,11,12,3,43,4,58,35,6,34,6,26,3,6
258,9,12,9,7,1,34,54,10,12,3,42,4,56,35,6,35,7,25,3,6
259,7,13,10,8,1,34,55,9,12,3,43,3,55,35,6,36,7,26,3,5
260,8,12,9,8,1,36,55,10,11,3,44,4,53,35,6,37,9,25,3,6
261,8,13,8,9,2,37,54,11,11,3,44,4,53,34,6,38,10,24,3,5
262,9,14,7,10,2,38,56,11,11,2,46,4,52,34,6,38,12,25,3,5
263,8,14,8,10,2,40,55,11,9,3,45,4,50,34,7,39,12,24,2,6
264,9,13,8,11,2,42,55,10,9,2,45,3,49,36,7,40,12,25,2,6
265,9,14,6,12,2,43,55,9,8,3,44,4,49,34,8,40,14,25,2,5
266,8,13,7,13,2,46,54,9,7,4,44,4,47,35,8,40,14,26,2,6
267,8,13,6,14,2,47,55,8,7,4,44,4,44,35,8,40,16,26,2,5
268,9,14,6,16,2,49,54,8,7,5,42,3,44,35,9,40,17,28,2,5
269,9,14,7,15,2,49,54,8,8,5,43,4,42,34,10,40,20,28,2,6
270,10,11,7,17,1,52,53,9,9,5,42,4,41,34,12,40,22,28,2,5
271,10,12,7,18,1,53,51,10,9,5,41,4,37,37,14,38,23,28,2,5
272,10,11,7,18,1,55,51,11,9,5,41,3,36,37,14,39,25,29,2,6
273,8,12,9,18,1,57,51,11,9,5,41,3,35,37,15,37,26,31,2,5
274,8,10,9,18,1,59,50,12,9,5,40,3,33,37,15,38,28,32,0,5
275,9,11,9,18,1,61,49,11,9,5,40,2,33,38,17,36,28,33,0,5
276,8,11,10,18,1,62,50,11,9,5,39,2,30,39,17,36,30,33,0,5
277,9,10,11,17,0,63,50,12,10,5,39,3,29,38,18,36,32,33,0,5
278,9,11,11,17,0,63,50,12,11,5,39,3,27,38,18,35,34,35,0,6
279,9,11,12,17,0,63,49,13,11,5,41,3,24,39,19,34,35,35,0,6
280,9,11,12,17,0,62,49,13,11,5,41,2,23,38,19,33,37,36,0,6
281,8,11,14,18,0,62,49,12,11,4,40,3,22,37,19,31,37,36,0,5
282,8,12,15,19,0,60,50,11,11,4,41,3,21,38,19,31,37,36,0,5
283,8,12,15,19,0,59,50,12,11,3,41,3,20,37,20,32,36,35,0,6
284,8,12,15,20,1,59,49,10,12,2,43,2,21,36,18,33,37,36,0,6
285,7,11,15,21,1,59,49,10,12,2,44,3,21,33,18,32,38,36,0,5
286,8,12,15,22,1,57,49,9,13,1,46,3,20,34,17,33,37,35,0,6
287,8,12,14,23,1,57,49,9,13,1,46,3,20,32,19,32,38,36,0,5
288,9,12,15,23,1,56,48,9,12,2,49,3,20,31,18,31,39,35,0,5
289,8,15,14,25,1,53,49,8,12,2,48,4,19,30,19,30,40,36,0,6
290,9,17,13,27,1,50,48,7,12,1,49,4,19,30,20,29,39,35,1,5
291,9,19,12,28,1,47,48,6,12,1,49,4,18,30,20,27,38,36,2,5
292,9,20,13,30,1,46,45,6,12,1,48,3,19,30,21,28,39,34,3,6
293,9,22,11,31,1,43,46,5,12,1,48,3,19,28,22,27,39,36,4,5
294,8,22,13,31,1,42,46,5,11,2,48,4,19,27,22,28,39,34,5,5
295,8,25,10,32,2,40,46,7,10,3,48,4,19,27,23,27,38,35,6,6
296,8,25,10,32,2,38,47,7,10,3,47,3,23,25,23,27,38,34,8,5
297,8,26,9,32,3,39,46,7,9,4,46,3,23,24,24,27,39,33,9,5
298,8,27,10,31,3,36,44,8,9,4,48,4,27,23,24,25,37,35,10,5
299,11,24,10,31,3,35,45,8,7,5,47,4,28,25,24,25,36,34,11,5
300,12,24,11,30,3,35,43,8,7,5,46,4,29,26,25,25,34,32,12,6
301,14,23,11,29,2,34,45,8,6,6,46,3,32,25,26,23,33,33,13,5
302,14,21,12,28,2,33,44,8,6,6,45,4,33,25,26,23,32,31,14,5
303,15,20,13,27,2,33,44,8,6,6,44,4,36,24,25,24,31,30,15,6
304,14,19,14,25,2,32,44,8,6,6,45,3,37,24,25,25,30,30,17,5
305,15,18,14,25,2,31,43,9,5,7,44,3,40,22,24,25,29,29,17,5
306,16,18,15,24,2,29,45,9,5,6,43,4,42,21,25,26,29,28,19,6
307,15,17,17,23,2,31,44,9,5,6,44,4,44,21,24,26,28,30,19,5
308,15,16,18,22,2,29,44,12,5,6,45,4,47,19,23,27,26,29,21,5
309,14,16,20,21,2,28,43,12,5,7,46,3,49,19,23,28,25,28,22,6
310,14,14,19,22,2,29,42,13,5,7,46,4,53,19,21,29,23,27,23,5
311,12,14,19,21,1,28,44,13,6,7,46,4,54,18,22,29,21,26,23,5
312,11,13,18,23,1,27,43,13,6,7,47,4,56,19,21,29,20,28,23,6
313,11,13,17,24,1,26,43,14,7,7,48,3,59,18,21,30,19,27,23,5
314,11,13,14,24,1,25,45,13,8,7,47,4,60,18,20,32,19,26,23,5
315,11,13,13,25,1,24,44,13,9,7,48,4,63,17,20,31,18,28,23,6
316,12,13,12,25,1,23,47,12,8,7,47,4,64,17,20,30,18,28,25,5
317,10,13,12,25,1,22,47,12,8,5,48,4,66,16,19,30,17,30,23,5
318,11,14,12,24,1,19,50,12,9,5,47,4,67,17,19,30,16,30,24,6
319,10,14,11,24,1,18,50,12,9,4,49,4,69,16,18,29,15,31,23,5
320,11,14,10,25,1,17,49,14,10,5,49,4,71,16,18,27,15,32,24,5
321,10,14,9,24,1,17,51,14,10,5,49,3,72,16,18,26,14,34,24,6
322,10,14,8,25,1,18,48,14,10,5,51,3,73,16,17,25,14,36,24,6
323,10,14,7,27,1,19,47,14,9,5,50,4,71,16,16,23,13,37,24,6
324,10,13,8,28,1,20,43,15,9,5,51,4,72,16,17,22,13,38,24,7
325,10,13,8,29,1,20,44,15,8,5,52,4,71,16,15,20,13,39,22,6
326,11,14,7,30,1,20,44,15,8,5,52,3,74,16,17,18,12,41,22,6
327,12,12,8,30,1,22,44,15,7,7,54,4,74,17,16,18,12,41,20,6
328,10,12,10,28,1,22,45,14,7,7,55,4,74,16,15,18,12,42,20,6
329,11,11,10,26,1,24,47,14,7,7,55,3,75,17,14,18,11,43,18,6
330,9,11,12,25,1,24,47,14,7,7,56,3,75,16,12,18,12,44,17,6
